modelo,RMSE,MAE,MAPE,sMAPE,semanas_validacion_observadas,AIC,loglikelihood_burn,model_df,Ljung_Box_p_10,ranking_RMSE
"ARIMA(3,0,0)",35.98770347128732,29.24317657717434,10.797440256694134,10.233800833240654,32,2444.2932682142446,3,3,0.8224591676880284,1
Ingenuo último valor,38.93232953730859,33.40233799972914,11.506397595907906,11.712154446251144,32,,0,0,1.5099803968596384e-05,2
"ARIMA(1,0,0)",39.09576532008661,29.485286851739502,11.350495921351472,10.326044380871766,32,2492.593491195079,1,1,0.001111891334150374,3
"ARIMA(1,1,0)",39.52352298923415,34.00619863717934,11.656200625003365,11.93034865275343,32,2487.540576525719,2,1,9.274599819553874e-05,4
Drift,39.91327288073052,34.09156029130784,11.649963912857409,11.960506676789446,32,,0,0,1.5099803968596384e-05,5
"ARIMA(2,1,0)",40.62871040501632,35.001038323684796,11.901720543493633,12.292102818775698,32,2447.511549568868,3,2,0.4411336012015036,6
"ARIMA(0,1,1)",41.89106393993765,36.10979950300509,12.19443161031849,12.699117731785392,32,2455.4321359727064,3,1,0.05370824301773716,7
SES,41.93102273780084,36.145393317091376,12.203963433244198,12.712244151963576,32,1748.3699225985242,0,0,0.0767751855155618,8
Holt amortiguado,42.350752697419814,36.45890906184083,12.283102203479594,12.827831811152473,32,1754.3602087627237,0,0,0.07788543266265538,9
"ARIMA(0,1,2)",45.275454866013284,38.92280981787396,12.966632222137642,13.747071786325613,32,2435.0170953968795,4,2,0.6572527311168903,10
ETS aditivo 52,50.177624811196125,38.95776097751302,12.91241637643884,13.855069202701747,32,1789.7372440268236,0,0,0.22366196617736517,11
Ingenuo estacional 52,60.393565661501334,50.4985149086489,17.49451855635899,16.98197719478658,32,,0,0,6.1366436047787374e-229,12
