archivo,periodo,bytes,filas_archivo,filas_angamos_1
PH2020-1_Act2024-03-11.csv,2020-1,138303424,224952,2184
PH2020-2_Act2024-03-11.csv,2020-2,139423238,224952,2184
PH2020-3_Act2024-03-11.csv,2020-3,137742680,227424,2208
PH2020-4_Act2024-03-11.csv,2020-4,133366384,227424,2208
PH2021-1_Act2024-03-11.csv,2021-1,135132058,222480,2160
PH2021-2_Act2024-03-11.csv,2021-2,137669302,224952,2184
PH2021-3_Act2024-03-11.csv,2021-3,140547112,227424,2208
PH2021-4_Act2024-03-11.csv,2021-4,136487910,227424,2208
PH2022-1_Act2024-03-11.csv,2022-1,135598938,222480,2160
PH2022-2_Act2024-03-11.csv,2022-2,140399564,224952,2184
PH2022-3_Act2024-03-11.csv,2022-3,137671908,227424,2208
PH2022-4_Act2024-03-11.csv,2022-4,130262688,227424,2208
PH2023-1_Act2024-03-11.csv,2023-1,132854522,222480,2160
PH2023-2_Act2024-03-11.csv,2023-2,135017912,224952,2184
PH2023-3_Act2024-03-11.csv,2023-3,130025418,227424,2208
PH2023-4_Act2024-03-11.csv,2023-4,117221366,200928,2208
PH2024-1_Act2025-05-28.csv,2024-1,133103008,224952,2184
PH2024-2_Act2025-05-28.csv,2024-2,133845918,224952,2184
PH2024-3_Act2025-05-28.csv,2024-3,131375952,227424,2208
PH2024-4_Act2025-05-28.csv,2024-4,129757140,227424,2208
PH2025-1_Act2025-12-09.csv,2025-1,133596270,222480,2160
PH2025-2_Act2025-12-09.csv,2025-2,138451818,224952,2184
PH2025-3_Act2025-12-09.csv,2025-3,131944650,216384,2208
